X,Y,FID,PERMITID,TYPE,DECISION,LIQUOR_TYP,ISSUEDATE,EXPIRE_YEA,EXPIRE_DAT,ESTABLISHM,ESTABLIS_1,ESTABLIS_2,ESTABLIS_3,ESTABLIS_4,TYPE_DESCR,LastUpdate,WGS_X,WGS_Y,APN
-93.28134352,44.97478064,360,1286534,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,122536,DAVANNIS PIZZA & HOT HOAGIES,1240 Hennepin Ave,NULL,NULL,WINE E W/STRONG BEER,57:05.8,-10384031.66,5617552.087,2.70E+12
-93.24680363,45.01008563,361,1326523,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,160552,LA COLONIA RESTAURANT,2205 Central Ave NE,NULL,NE,WINE E W/STRONG BEER,57:05.8,-10380186.7,5623109.402,1.20E+12
-93.28134352,44.97478064,362,1286534,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,159330,DAVANNIS PIZZA & HOT HOAGIES,1242 Hennepin Ave,NULL,NULL,WINE E W/STRONG BEER,57:05.8,-10384031.66,5617552.087,2.70E+12
-93.28617121,44.97149904,363,1198877,L237,APPROVED,ON Sale,8/1/2014,2015,7/1/2015,145738,CAFE & BAR LURCAT,1624 Harmon Pl,NULL,NULL,LIQ ON-SALE C-1 W/SS SERIES 3000,56:57.6,-10384569.08,5617035.709,2.70E+12
-93.24697407,45.00760245,364,1619040,L216,APPROVED,ON Sale,10/3/2014,2015,10/1/2015,173273,THE MILL NORTHEAST,1851 Central Ave NE,NULL,NE,LIQ ON-SALE E W/SS SERIES 4000,57:40.9,-10380205.67,5622718.416,1.20E+12
-93.28563949,44.97162721,365,1647605,L190,APPROVED,ON Sale,5/23/2014,2015,4/1/2015,173772,THIRD BIRD,1612 Harmon Pl,NULL,NULL,LIQ ON-SALE B W/SS SERIES 2000,56:54.2,-10384509.89,5617055.876,2.70E+12
-93.28552328,44.97175653,366,1511622,L196,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,136959,JOES GARAGE,1610 Harmon Pl,NULL,NULL,LIQ ON-SALE E W/SS SERIES 2000,57:05.8,-10384496.95,5617076.226,2.70E+12
-93.24398658,44.92045011,367,564857,L226,APPROVED,ON Sale,5/23/2014,2015,4/1/2015,131399,HIAWATHA GOLF COURSE,4553 Longfellow Ave,NULL,NULL,BEER CL E ON SALE,56:21.5,-10379873.11,5609006.665,1.20E+12
-93.28787417,45.03872571,368,1596030,L206,APPROVED,ON Sale,8/1/2014,2015,7/1/2015,131243,CAMDEN TAVERN & GRILL,4601 Lyndale Ave N,NULL,N,LIQ ON-SALE E W/SS SERIES 3000,56:57.6,-10384758.65,5627620.118,1.21E+12
-93.24690343,44.91756697,369,1684177,L244,NEW,ON Sale,11/13/2014,2015,4/1/2015,173829,CARBONES PIZZA ON PARKWAY,4705 Cedar Ave S,NULL,S,WINE C-1 W/STRONG BEER,57:11.7,-10380197.81,5608553.415,1.30E+12
-93.27814831,44.96806929,370,1036654,L186,PENDING,ON Sale,1/23/2014,2016,1/1/2016,135781,SALSA A LA SALSA MEXICAN GRILL,1420 Nicollet Ave,NULL,NULL,LIQ ON-SALE E W/SS SERIES 1000,03:05.5,-10383675.97,5616496.049,2.70E+12
-93.24374717,44.91300773,371,1595635,L246,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,172698,SANDCASTLE,4955 West Lake Nokomis Pkwy,NULL,NULL,WINE D W/STRONG BEER,57:10.0,-10379846.46,5607836.715,1.30E+12
-93.24409551,45.00448325,372,1655579,L212,APPROVED,ON Sale,10/31/2014,2015,10/1/2015,173074,SOCIABLE CIDER WERKS,1500 Fillmore St NE,100,NE,LIQ ON-SALE C-2 W/SS SERIES 4000,57:19.9,-10379885.23,5622227.31,1.30E+12
