X,Y,FID,PERMITID,TYPE,DECISION,LIQUOR_TYP,ISSUEDATE,EXPIRE_YEA,EXPIRE_DAT,ESTABLISHM,ESTABLIS_1,ESTABLIS_2,ESTABLIS_3,ESTABLIS_4,TYPE_DESCR,LastUpdate,WGS_X,WGS_Y,APN
-93.294463577689484,44.992283503883513,29,562769,L171,APPROVED,Off Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,69676,MICKYS LIQUOR STORE,1104 Plymouth Ave N,NULL,N,LIQ OFF-SALE SERIES 2000,2014-04-17 00:56:54.490,-10385492.1793,5620306.7636,1602924430110
-93.308745993901326,45.003851896838306,30,562798,L172,APPROVED,Off Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,129927,BROADWAY LIQUOR OUTLET,2201 West Broadway,NULL,NULL,LIQ OFF-SALE SERIES 3000,2014-07-10 00:56:46.390,-10387082.0906,5622127.9089,1702924110220
-93.215183857335845,44.919418391819661,31,1447942,L171,APPROVED,Off Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,168032,FALLS LIQUOR,4604 Minnehaha Ave,NULL,NULL,LIQ OFF-SALE SERIES 2000,2014-04-17 00:56:54.490,-10376666.8012,5608844.4695,1802823120050
-93.223309076859877,44.911967988265111,32,562852,L173,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,129981,MCDONALDS LIQUOR STORE,5010 34th Ave S,NULL,S,LIQ OFF-SALE SERIES 4000,2014-09-25 00:57:29.453,-10377571.2965,5607673.278,1802823320150
-93.221089645220019,44.998199373143677,33,1671625,L313,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,174867,NORTHGATE BREWING,783 Harding St NE,#100,NE,"OFF SALE MALT LIQUOR, SERIES 4000",2014-09-25 00:57:29.453,-10377324.2305,5621238.0188,1802923310010
-93.212950455096674,44.991932964831442,34,1671587,L313,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,174115,INSIGHT BREWING COMPANY,2821 Hennepin Ave E,NULL,E,"OFF SALE MALT LIQUOR, SERIES 4000",2014-09-25 00:57:29.453,-10376418.18,5620251.586,1802923430010
-93.288846891019929,44.980967345090029,35,1038483,L171,APPROVED,Off Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,136119,DAMICO CATERING,275 Market St STE C25,STE C25,NULL,LIQ OFF-SALE SERIES 2000,2014-05-02 00:56:06.407,-10384866.9326,5618525.6817,2102924449000
-93.277455222849653,44.987541917806951,36,1609605,L313,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,172901,LOOSE WILES FREEHOUSE,701 Washington Ave N,NULL,N,"OFF SALE MALT LIQUOR, SERIES 4000",2014-09-25 00:57:29.453,-10383598.8179,5619560.4293,2202924130050
-93.271892850118803,44.984531585234414,37,1358719,L171,APPROVED,Off Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,164989,NORTH LOOP WINE AND SPIRITS,218 Washington Ave N,NULL,N,LIQ OFF-SALE SERIES 2000,2014-04-17 00:56:54.490,-10382979.6174,5619086.6295,2202924140080
-93.279123211075955,44.98493735670322,38,1512175,L313,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,170490,FULTON BEER,414 6th Ave N,NULL,N,"OFF SALE MALT LIQUOR, SERIES 4000",2014-09-25 00:57:29.453,-10383784.4975,5619150.4929,2202924240030
-93.269099384232618,44.982974416901641,39,1608768,L172,APPROVED,Off Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,171997,WHOLE FOODS MARKET,222 Hennepin Ave,NULL,NULL,LIQ OFF-SALE SERIES 3000,2014-07-10 00:56:46.390,-10382668.6502,5618841.5547,2202924410010
-93.274426262713419,44.977107531867851,40,1286193,L173,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,159186,TEAM LIQUOR WINE & SPIRITS,19 7th St S,NULL,S,LIQ OFF-SALE SERIES 4000,2014-09-25 00:57:29.453,-10383261.6356,5617918.2553,2202924430090
-93.276158885622706,44.979548003066732,41,1599707,L170,PENDING,Off Sale,2014-04-25 00:00:00.000,2016,2016-01-01 00:00:00.000,132380,LEVY RESTAURANTS,600 1st Ave N,NULL,N,LIQ OFF-SALE SERIES 1000,2014-11-25 01:02:13.890,-10383454.5103,5618302.3123,2202924430140
-93.256111622703202,44.988476143215642,42,562737,L170,PENDING,Off Sale,2014-01-23 00:00:00.000,2016,2016-01-01 00:00:00.000,129868,SURDYKS LIQUOR,303 Hennepin Ave E,NULL,E,LIQ OFF-SALE SERIES 1000,2014-11-27 01:02:50.963,-10381222.8592,5619707.4732,2302924120110
-93.265033962294609,44.982232947224077,43,1564378,L173,PENDING,Off Sale,2013-11-15 00:00:00.000,2015,2015-10-01 00:00:00.000,165836,BOTTLE HOUSE,150 2nd Ave S,NULL,S,LIQ OFF-SALE SERIES 4000,2014-10-03 00:56:26.883,-10382216.0895,5618724.8609,2302924320010
-93.234328581092768,44.980914651939948,44,562836,L173,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,129965,DINKYTOWN WINE & SPIRITS,1412 5th St SE,NULL,SE,LIQ OFF-SALE SERIES 4000,2014-09-25 00:57:29.453,-10378797.9821,5618517.389,2402924420020
-93.246915651784676,44.967195963083334,45,1142555,L171,APPROVED,Off Sale,2014-05-23 00:00:00.000,2015,2015-04-01 00:00:00.000,141009,CEDAR RIVERSIDE LIQUOR STORE,617 Cedar Ave S,NULL,S,LIQ OFF-SALE SERIES 2000,2014-05-15 00:56:10.210,-10380199.1684,5616358.6395,2502924320610
-93.247795603707743,44.973398922099108,46,1159845,L311,APPROVED,Off Sale,2014-05-23 00:00:00.000,2015,2015-04-01 00:00:00.000,130360,MINNEAPOLIS TOWN HALL BREWERY,1430 Washington Ave S,NULL,S,"OFF SALE MALT LIQUOR, SERIES 2000",2014-05-15 00:56:10.210,-10380297.1242,5617334.6626,2602924110080
-93.253143580021302,44.974970402919986,47,1625054,L313,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,146897,DAY BLOCK BREWING COMPANY,1105 Washington Ave S,NULL,S,"OFF SALE MALT LIQUOR, SERIES 4000",2014-09-25 00:57:29.453,-10380892.4582,5617581.9487,2602924120070
-93.253428988261788,44.976233563144724,48,1684283,L170,NEW PROP,Off Sale,2014-11-13 15:50:20.000,2016,2016-01-01 00:00:00.000,175111,1010 WASHINGTON WINES & SPIRITS,1010 Washington Ave S,NULL,S,LIQ OFF-SALE SERIES 1000,2014-11-24 00:56:58.497,-10380924.2297,5617780.7228,2602924120140
-93.269958188017284,44.976833482713005,49,1446216,L173,APPROVED,Off Sale,2014-10-17 00:00:00.000,2015,2015-10-01 00:00:00.000,167996,SKYWAY WINE & SPIRITS,601 Marquette Ave 218,218,NULL,LIQ OFF-SALE SERIES 4000,2014-10-09 00:57:21.560,-10382764.2518,5617875.1292,2702924119000
