X,Y,FID,PERMITID,TYPE,DECISION,LIQUOR_TYP,ISSUEDATE,EXPIRE_YEA,EXPIRE_DAT,ESTABLISHM,ESTABLIS_1,ESTABLIS_2,ESTABLIS_3,ESTABLIS_4,TYPE_DESCR,LastUpdate,WGS_X,WGS_Y,APN
-93.328116081606836,44.912848221219299,459,1552844,L204,APPROVED,ON Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,169547,PIG & FIDDLE,3812 50th St W,NULL,W,LIQ ON-SALE D W/SS SERIES 3000,2014-07-10 00:56:57.643,-10389238.3589,5607811.6413,1702824230150
-93.327401832022744,44.912178576831778,460,1644694,L247,APPROVED,ON Sale,2014-05-09 00:00:00.000,2015,2015-04-01 00:00:00.000,173589,AGRA CULTURE,3717 50th St W,NULL,W,WINE E W/STRONG BEER,2014-05-02 00:56:17.720,-10389158.849,5607706.3801,1702824320050
-93.226022664551024,44.973996959123959,461,1684003,L196,APPROVED,ON Sale,2014-12-05 00:00:00.000,2014,2014-12-28 00:00:00.000,144028,CAMPUS PIZZA,825 Washington Ave SE,NULL,SE,LIQ ON-SALE E W/SS SERIES 2000,2014-11-20 00:57:30.970,-10377873.3717,5617428.7681,3002923220050
-93.328653205874787,44.910965576084095,462,1579265,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,47323,AREZZO RISTORANTE,5057 France Ave S,NULL,S,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10389298.1513,5607515.712,1702824320120
-93.226022664551024,44.973996959123959,463,1677272,L196,APPROVED,ON Sale,2014-10-31 00:00:00.000,2014,2014-11-30 00:00:00.000,144028,CAMPUS PIZZA,825 Washington Ave SE,NULL,SE,LIQ ON-SALE E W/SS SERIES 2000,2014-10-24 00:57:19.923,-10377873.3717,5617428.7681,3002923220050
-93.309029907345177,44.912088572247804,464,565368,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,131897,BRODERS PASTA BAR,5000 Penn Ave S,NULL,S,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10387113.6957,5607692.2324,1702824410000
-93.209505345913485,44.915496656092515,465,1214350,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,147215,SEA SALT EATERY,4801 Minnehaha Ave,NULL,NULL,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10376034.6722,5608227.96,1802823110000
-93.22676665286258,44.976181928783561,466,1680365,L206,APPROVED,ON Sale,2014-11-14 00:00:00.000,2014,2014-11-23 00:00:00.000,167938,BUFFALO WILD WINGS GRILL & BAR #292,2001 University Ave SE 100,100,SE,LIQ ON-SALE E W/SS SERIES 3000,2014-11-06 00:57:22.400,-10377956.1921,5617772.5974,3002923220070
-93.209505345913485,44.915496656092515,467,1214350,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,148896,SEA SALT EATERY,4801 Minnehaha Ave,NULL,NULL,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10376034.6722,5608227.96,1802823110000
-93.22676665286258,44.976181928783561,468,1680371,L206,APPROVED,ON Sale,2014-11-14 00:00:00.000,2014,2014-11-30 00:00:00.000,167938,BUFFALO WILD WINGS GRILL & BAR #292,2001 University Ave SE 100,100,SE,LIQ ON-SALE E W/SS SERIES 3000,2014-11-06 00:57:22.400,-10377956.1921,5617772.5974,3002923220070
-93.222408798756859,44.91226717977748,469,1683247,L247,NEW,ON Sale,2014-11-07 11:04:04.000,2015,2015-04-01 00:00:00.000,175008,SASSY SPOON,5001 34th Ave S,NULL,S,WINE E W/STRONG BEER,2014-11-10 00:57:26.517,-10377471.078,5607720.3075,1802823310200
