lic_no,patron_nm,descr,eff_date,exp_date,descr,work_phn_no,dba_nm,compute_0009,compute_0010,long_descr
20110002330,JOAN'S IN THE PARK INC,Wine On Sale ,8/21/2011 00:00:00,6/27/2016 00:00:00,Active            ,6516903297,JOAN'S IN THE PARK,631 SNELLING AVE S ,"ST PAUL, MN 55116-1529","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20020000187,MASOODA ENTERPRISES INC,Wine On Sale ,4/1/2002 00:00:00,1/1/2016 00:00:00,Active            ,6516900505,KHYBER PASS CAFE,1571 GRAND AVE ,"ST PAUL, MN 55105-2229","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20140002953,KING THAI LLC,Wine On Sale ,12/11/2014 00:00:00,10/15/2016 00:00:00,Active            ,6513981435,KING THAI LLC,225 UNIVERSITY AVE W STE 130,"ST PAUL, MN 55103","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20040004015,LA CABANA RESTAURANT INC,Wine On Sale ,1/12/2005 00:00:00,1/12/2016 00:00:00,Active            ,6517747547,LA CABANA RESTAURANT,863 7TH ST E ,"ST PAUL, MN 55106-4515","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20060003265,LITTLE SZECHUAN INC,Wine On Sale ,12/20/2006 00:00:00,12/20/2015 00:00:00,Active Pending Ren,6512221333,LITTLE SZECHUAN CHINESE CUISINE,422 UNIVERSITY AVE W ,"ST PAUL, MN 55103-1962","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20140003193,LUCY COFFEE CAFE LLC,Wine On Sale ,2/10/2015 00:00:00,2/5/2016 00:00:00,Active            ,6512108727,LUCY COFFEE CAFE,540 FAIRVIEW AVE N STE 102,"ST PAUL, MN 55104","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20070005086,MAMA'S PIZZA INC,Wine On Sale ,1/4/2008 00:00:00,1/4/2016 00:00:00,Active            ,6514892005,MAMA'S PIZZA,961 RICE ST ,"ST PAUL, MN 55117-4950","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20130004139,MIRROR OF KOREA INC,Wine On Sale ,11/11/2013 00:00:00,5/28/2016 00:00:00,Active            ,6516479004,MIRROR OF KOREA,761 SNELLING AVE N ,"ST PAUL, MN 55104-1214","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20150003362,MUCCI'S ITALIAN LLC,Wine On Sale ,10/9/2015 14:13:38,10/8/2016 00:00:00,Pending           ,6122516594,MUCCI'S ITALIAN LLC,786 RANDOLPH AVE ,"ST PAUL, MN 55102-3416","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
0045708,PARASOLE REST HLDNGS INC & REST MKTG INC,Wine On Sale ,6/24/1988 00:00:00,1/31/2016 00:00:00,Active            ,6516449116,MUFFULETTA IN THE PARK,2260 COMO AVE ,"ST PAUL, MN 55108-1720","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20150000919,DIPENDENZA LLC,Wine On Sale ,7/2/2015 00:00:00,2/18/2016 00:00:00,Active            ,6512938695,NINA'S COFFEE CAFE,165 WESTERN AVE N ,"ST PAUL, MN 55102-4621","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20030004657,THE NOODLE SHOP CO - COLORADO INC,Wine On Sale ,4/1/2004 00:00:00,4/1/2016 00:00:00,Active            ,6516959300,NOODLES & COMPANY,2110 FORD PKWY ,"ST PAUL, MN 55116-1813","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20110002588,THE NOODLE SHOP COMPANY COLORADO INC,Wine On Sale ,11/15/2011 00:00:00,4/1/2016 00:00:00,Active            ,6516468285,NOODLES & COMPANY,470 HAMLINE AVE N ,"ST PAUL, MN 55104-4004","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20100005156,KHUMCHAYA'S ENTERPRISES LLC,Wine On Sale ,5/3/2011 00:00:00,12/1/2015 00:00:00,Active Pending Ren,6516441444,ON'S KITCHEN,1613 UNIVERSITY AVE W ,"ST PAUL, MN 55104-3820","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20030004750,PAD THAI GRAND CAFE LLC,Wine On Sale ,1/23/2004 00:00:00,1/23/2016 00:00:00,Active            ,6516901393,PAD THAI,1681 GRAND AVE ,"ST PAUL, MN 55105-1807","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20060002074,HUNG TU INC,Wine On Sale ,1/24/2007 00:00:00,1/24/2016 00:00:00,Active            ,6516441738,PEKING GARDEN CHINESE RESTAURANT,1488 UNIVERSITY AVE W ,"ST PAUL, MN 55104-3901","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
