lic_no,patron_nm,descr,eff_date,exp_date,descr,work_phn_no,dba_nm,compute_0009,compute_0010,long_descr
20140003190,TARGET CORPORATION,Liquor Off Sale,12/23/2014 00:00:00,12/23/2015 00:00:00,Pending           ,,TARGET STORE T2229,1300 UNIVERSITY AVE W ,"ST PAUL, MN 55104",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20130000044,PLANKTON HOLDING INC,Liquor Off Sale,5/9/2013 00:00:00,5/9/2016 00:00:00,Active            ,6514149244,THE LIQUOR VAULT,170 10TH ST E ,"ST PAUL, MN 55101-2353",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20110005065,LIFE IS GRAND LLC,Liquor Off Sale,2/13/2012 00:00:00,2/13/2016 00:00:00,Active            ,6129164777,THE LITTLE WINE SHOPPE,2236 CARTER AVE ,"ST PAUL, MN 55108-1639",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0013412,350 MARKET STREET LLC,Liquor Off Sale,4/1/1989 00:00:00,7/1/2016 00:00:00,Active            ,6512929292,THE ST PAUL HOTEL,350 MARKET ST ,"ST PAUL, MN 55102-1430",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20050001331,THE WINE THIEF INC,Liquor Off Sale,8/3/2005 00:00:00,5/1/2016 00:00:00,Active            ,6516989463,THE WINE THIEF,1787 ST CLAIR AVE ,"ST PAUL, MN 55105-1941",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0078142,THOMAS BEVERAGE CO INC,Liquor Off Sale,10/2/1989 00:00:00,1/31/2016 00:00:00,Active            ,6516991860,THOMAS LIQUORS,1941 GRAND AVE ,"ST PAUL, MN 55105-1433",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20130000138,D TRAN LLC,Liquor Off Sale,4/29/2013 00:00:00,4/1/2016 00:00:00,Active            ,6512468054,TOASTED WINE+SPIRITS+ALES,560 COMO AVE ,"ST PAUL, MN 55103-1508",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20080000612,TRADER JOE'S EAST INC,Liquor Off Sale,6/12/2009 00:00:00,6/30/2016 00:00:00,Active            ,6516983119,TRADER JOE'S #716,484 LEXINGTON PKWY S ,"ST PAUL, MN 55105",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20150002722,PZA II LLC,Liquor Off Sale,9/1/2015 15:09:03,8/31/2016 00:00:00,Pending           ,,VINERIA COSSETTA,211 7TH ST W ,"ST PAUL, MN 55102-2520",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
19980002207,WALFOORT LIQUOR COMPANY,Liquor Off Sale,8/3/1998 00:00:00,8/3/2016 00:00:00,Active            ,6517712066,WALFOORT LIQUOR STORE,1100 ARCADE ST ,"ST PAUL, MN 55106-2602",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0036114,THE MAO FAMILY CORP,Liquor Off Sale,7/1/1990 00:00:00,7/1/2016 00:00:00,Active            ,6512930020,WOLTER BROTHERS PHARMACY & LIQUOR,438 UNIVERSITY AVE W ,"ST PAUL, MN 55103-1933",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20100001866,MILTON CORPORATION,Liquor Off Sale,7/20/2010 00:00:00,7/26/2016 00:00:00,Active            ,6516980707,YARMO LIQUOR,2489 7TH ST W ,"ST PAUL, MN 55116-2839",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
